invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-58916200009,2023-05-31T00:00:00.000,2697,HY-VEE DOLLAR FRESH - TOLEDO,1006 S. COUNTRY ROAD,TOLEDO,52342,POINT (-92.58319103699995 41.98517001300007),,TAMA,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64865,FIREBALL CINNAMON WHISKEY PET,12,750,9.00,13.50,12,162.00,9.00,2.37
INV-58916200010,2023-05-31T00:00:00.000,2697,HY-VEE DOLLAR FRESH - TOLEDO,1006 S. COUNTRY ROAD,TOLEDO,52342,POINT (-92.58319103699995 41.98517001300007),,TAMA,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64867,FIREBALL CINNAMON WHISKEY,12,1000,12.00,18.00,12,216.00,12.00,3.17
INV-58916200011,2023-05-31T00:00:00.000,2697,HY-VEE DOLLAR FRESH - TOLEDO,1006 S. COUNTRY ROAD,TOLEDO,52342,POINT (-92.58319103699995 41.98517001300007),,TAMA,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64868,FIREBALL CINNAMON WHISKEY,6,1750,16.00,24.00,6,144.00,10.50,2.77
INV-58916200012,2023-05-31T00:00:00.000,2697,HY-VEE DOLLAR FRESH - TOLEDO,1006 S. COUNTRY ROAD,TOLEDO,52342,POINT (-92.58319103699995 41.98517001300007),,TAMA,1081200,CREAM LIQUEURS,434,LUXCO INC,68846,ST BRENDANS IRISH CREAM,12,750,9.50,14.25,12,171.00,9.00,2.37
INV-58916200013,2023-05-31T00:00:00.000,2697,HY-VEE DOLLAR FRESH - TOLEDO,1006 S. COUNTRY ROAD,TOLEDO,52342,POINT (-92.58319103699995 41.98517001300007),,TAMA,1031200,AMERICAN FLAVORED VODKA,260,DIAGEO AMERICAS,78071,SMIRNOFF ZERO SUGAR INFUSION CUCUMBER & LIME,12,750,8.25,12.38,12,148.56,9.00,2.37
INV-58916200014,2023-05-31T00:00:00.000,2697,HY-VEE DOLLAR FRESH - TOLEDO,1006 S. COUNTRY ROAD,TOLEDO,52342,POINT (-92.58319103699995 41.98517001300007),,TAMA,1022200,100% AGAVE TEQUILA,240,WILLIAM GRANT & SONS INC,88116,MILAGRO SILVER,6,750,17.00,25.50,6,148.50,4.50,1.18
INV-58916300001,2023-05-31T00:00:00.000,3942,TWIN TOWN LIQUOR,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.58164440599995 41.98241002000003),,TAMA,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.74,8.61,3,25.83,2.25,0.59
INV-58916300002,2023-05-31T00:00:00.000,3942,TWIN TOWN LIQUOR,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.58164440599995 41.98241002000003),,TAMA,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11773,BLACK VELVET,48,200,1.75,2.63,48,126.24,9.60,2.53
INV-58916300003,2023-05-31T00:00:00.000,3942,TWIN TOWN LIQUOR,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.58164440599995 41.98241002000003),,TAMA,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11777,BLACK VELVET,12,1000,7.00,10.50,12,126.00,12.00,3.17
INV-58916300004,2023-05-31T00:00:00.000,3942,TWIN TOWN LIQUOR,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.58164440599995 41.98241002000003),,TAMA,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.50,8.25,12,99.00,9.00,2.37
