"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"INV-55187200002","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1062400","SPICED RUM","259","HEAVEN HILL BRANDS","43028","ADMIRAL NELSON SPICED","6","1750","11.55","17.33","6","103.98","10.50","2.77"
"INV-55187200003","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1011200","STRAIGHT BOURBON WHISKIES","065","JIM BEAM BRANDS","20248","OLD CROW","6","1750","10.50","15.75","6","94.50","10.50","2.77"
"INV-55187200004","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1012100","CANADIAN WHISKIES","260","DIAGEO AMERICAS","11298","CROWN ROYAL","6","1750","33.99","50.99","6","305.94","10.50","2.77"
"INV-55187200005","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1051100","AMERICAN BRANDIES","259","HEAVEN HILL BRANDS","52316","CHRISTIAN BROS BRANDY","12","750","6.00","9.00","12","108.00","9.00","2.37"
"INV-55187200006","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1011400","TENNESSEE WHISKIES","085","BROWN FORMAN CORP.","26828","JACK DANIELS OLD #7 BLACK LABEL","6","1750","31.72","47.58","6","285.48","10.50","2.77"
"INV-55187200007","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1041100","AMERICAN DRY GINS","434","LUXCO INC","31658","PARAMOUNT GIN","6","1750","7.75","11.63","6","69.78","10.50","2.77"
"INV-55187200008","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1011100","BLENDED WHISKIES","260","DIAGEO AMERICAS","25608","SEAGRAMS 7 CROWN","6","1750","13.99","20.99","12","251.88","21.00","5.54"
"INV-55187200009","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1011200","STRAIGHT BOURBON WHISKIES","259","HEAVEN HILL BRANDS","17958","EVAN WILLIAMS BLACK","6","1750","17.00","25.50","6","153.00","10.50","2.77"
"INV-55187200010","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1031100","AMERICAN VODKAS","434","LUXCO INC","36308","HAWKEYE VODKA","6","1750","7.50","11.25","12","135.00","21.00","5.54"
"INV-55187200012","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1031100","AMERICAN VODKAS","297","LAIRD & COMPANY","35918","FIVE O'CLOCK VODKA","6","1750","7.50","11.25","12","135.00","21.00","5.54"
"INV-55187200013","2023-01-23T00:00:00.000","4024","WAL-MART 1546 / IOWA FALLS","840 S OAK","IOWA FALLS","50126",,,"HARDIN","1081600","WHISKEY LIQUEUR","421","SAZERAC COMPANY  INC","64864","FIREBALL CINNAMON WHISKEY","24","375","5.33","8.00","24","192.00","9.00","2.37"
